WKT,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,origin,site
POINT (-62.671036 2.437758),2.437758,-62.671036,304.01,0.39,0.36,3/22/2016,530,N,VIIRS,n,1,292.42,1.14,N,SUOMI VIIRS C2,yan
POINT (-62.667538 2.437213),2.437213,-62.667538,312.88,0.39,0.36,3/22/2016,530,N,VIIRS,n,1,293.56,1.65,N,SUOMI VIIRS C2,yan
POINT (-62.671597 2.434412),2.434412,-62.671597,328.05,0.39,0.36,3/22/2016,530,N,VIIRS,n,1,293.75,1.85,N,SUOMI VIIRS C2,yan
POINT (-62.675106 2.43496),2.43496,-62.675106,304.8,0.39,0.36,3/22/2016,530,N,VIIRS,n,1,292.83,1.85,N,SUOMI VIIRS C2,yan
POINT (-62.668098 2.433866),2.433866,-62.668098,308.51,0.39,0.36,3/22/2016,530,N,VIIRS,n,1,292.4,1.07,N,SUOMI VIIRS C2,yan
POINT (-62.696861 2.440006),2.440006,-62.696861,304.6,0.44,0.38,3/10/2019,524,N,VIIRS,n,1,290.25,1.25,N,SUOMI VIIRS C2,yan
POINT (-62.68449 2.435662),2.435662,-62.68449,305.22,0.41,0.45,3/19/2019,554,N,VIIRS,n,1,291.96,1.55,N,SUOMI VIIRS C2,yan
POINT (-62.682301 2.439077),2.439077,-62.682301,303.58,0.39,0.36,3/20/2019,536,N,VIIRS,n,1,291.33,1.45,N,SUOMI VIIRS C2,yan
POINT (-62.693226 2.437393),2.437393,-62.693226,312.46,0.39,0.36,3/20/2019,536,N,VIIRS,n,1,291.78,1.21,N,SUOMI VIIRS C2,yan
POINT (-62.693733 2.434071),2.434071,-62.693733,307.8,0.39,0.36,3/20/2019,536,N,VIIRS,n,1,291.37,0.99,N,SUOMI VIIRS C2,yan
POINT (-71.57117 -9.4682),-9.4682,-71.57117,339.3,0.44,0.46,8/1/2020,1748,1,VIIRS,n,2.0NRT,295,3.7,D,J1 VIIRS C1,acre
POINT (-71.60056 -9.50936),-9.50936,-71.60056,343.7,0.44,0.39,8/11/2020,1806,1,VIIRS,n,2.0NRT,305,57.8,D,J1 VIIRS C1,acre
POINT (-71.60244 -9.50138),-9.50138,-71.60244,344.1,0.4,0.44,8/20/2020,1836,1,VIIRS,n,2.0NRT,296.1,8.3,D,J1 VIIRS C1,acre
POINT (-71.45919 -9.3431),-9.3431,-71.45919,344.1,0.33,0.55,8/30/2020,1848,1,VIIRS,n,2.0NRT,294.3,3.9,D,J1 VIIRS C1,acre
POINT (-71.4047 -9.26874),-9.26874,-71.4047,329.4,0.54,0.68,9/25/2020,1900,1,VIIRS,n,2.0NRT,290,8.1,D,J1 VIIRS C1,acre
POINT (-71.50174 -9.42928),-9.42928,-71.50174,338.71,0.39,0.36,8/24/2021,1819,1,VIIRS,n,2.0NRT,301.02,12.93,D,J1 VIIRS C1,acre
POINT (-71.42374 -9.3075),-9.3075,-71.42374,334.26,0.44,0.62,9/7/2021,1856,1,VIIRS,n,2.0NRT,287.81,4.74,D,J1 VIIRS C1,acre
POINT (-71.55354 -9.8574),-9.8574,-71.55354,340.23,0.52,0.5,9/13/2021,1843,1,VIIRS,n,2.0NRT,295.61,11.43,D,J1 VIIRS C1,acre
